"Prey","Category"
"Benthic invertebrae","Invertebrate"
"Actinopterygii bits","Fish"
"Orthospinus franciscoensis","Fish"
"Serrasalminae","Fish"
"vegetal tissue","Plant"
"Triportheus guentheri","Fish"
"Psellogramus kennedyi","Fish"
"Hemigrammus gracilis","Fish"
"Bryconops affinnis","Fish"
"Hexapoda","Invertebrate"
"Acestrorhynchus lacustris","Fish"
"Serrassalminae","Fish"
"Actinopterygii NI","Fish"
"Psellogrammus kennedyi","Fish"
"Orthospinus franscicoensis","Fish"
"Polymitarcyidae","Invertebrate"
"Hydropsychidae","Invertebrate"
"Acestrorhynchus sp.","Fish"
"Poecilidae","Fish"
"Campsurus sp.","Invertebrate"
"Cheirodontinae","Fish"
"Siluriformes","Fish"
"Franciscodoras marmoratus","Fish"
